State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Total - Cases,Total - Injured,Total - Died,alcintake2016,overspeed2016,wrongside2016,lanejumping2016
Punjab,Unknown,2022.0,May,Thursday,22:25,Serious,1,Pedestrian,7,5.0,Foggy,National Highway,Dry,Dusk,Signals,69.0,19,Male,,No,Curve,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Chandigarh,Unknown,2022.0,May,Sunday,7:15,Minor,2,Pedestrian,1,3.0,Stormy,State Highway,Dry,Dark,Signs,73.0,28,Female,Valid,Yes,Bridge,182.0,171.0,67.0,9.0,380.0,17.0,5.0
West Bengal,Kolkata,2019.0,November,Friday,2:15,Serious,1,Two-Wheeler,7,2.0,Rainy,National Highway,Damaged,Dawn,Police Checkpost,71.0,38,Male,Expired,Yes,Curve,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
Jharkhand,Unknown,2020.0,July,Sunday,17:40,Fatal,5,Car,0,2.0,Foggy,Urban Road,Dry,Daylight,,38.0,26,Female,,Yes,Intersection,5316.0,3586.0,4173.0,543.0,652.0,169.0,110.0
Tripura,Unknown,2019.0,January,Sunday,18:48,Fatal,4,Cycle,2,5.0,Stormy,National Highway,Wet,Dark,Signs,97.0,49,Male,Valid,No,Bridge,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Tamil Nadu,Coimbatore,2018.0,October,Saturday,19:23,Serious,1,Bus,2,1.0,Foggy,State Highway,Dry,Dawn,Signs,59.0,18,Female,Expired,No,Straight Road,67213.0,72292.0,18347.0,531.0,47055.0,3209.0,2367.0
Goa,Unknown,2018.0,June,Friday,0:37,Minor,2,Car,10,5.0,Clear,Village Road,Wet,Dark,Signals,86.0,23,Male,,Yes,Straight Road,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Chandigarh,Unknown,2019.0,December,Wednesday,12:58,Minor,5,Cycle,6,4.0,Rainy,Urban Road,Under Construction,Daylight,,103.0,43,Male,,Yes,Bridge,182.0,171.0,67.0,9.0,380.0,17.0,5.0
Haryana,Unknown,2020.0,March,Wednesday,17:12,Serious,2,Pedestrian,8,5.0,Rainy,Urban Road,Under Construction,Dawn,Police Checkpost,113.0,34,Female,Expired,No,Intersection,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Nagaland,Unknown,2021.0,August,Thursday,13:19,Minor,4,Cycle,7,0.0,Stormy,Village Road,Dry,Daylight,Signals,103.0,40,Female,Valid,No,Straight Road,35.0,46.0,37.0,13.0,11.0,0.0,0.0
Odisha,Unknown,2021.0,January,Tuesday,5:52,Fatal,1,Pedestrian,1,0.0,Rainy,State Highway,Damaged,Dark,Signs,41.0,61,Male,Valid,No,Curve,11989.0,10367.0,5737.0,,,,
Gujarat,Ahmedabad,2019.0,July,Wednesday,7:25,Minor,3,Bus,10,0.0,Rainy,National Highway,Wet,Daylight,Police Checkpost,35.0,68,Male,Expired,No,Intersection,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Haryana,Unknown,2020.0,August,Wednesday,3:59,Fatal,3,Car,3,5.0,Foggy,State Highway,Under Construction,Dawn,Signs,38.0,67,Male,Expired,Yes,Bridge,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Meghalaya,Unknown,2021.0,April,Monday,15:39,Serious,5,Cycle,3,0.0,Hazy,Village Road,Dry,Dawn,,42.0,38,Male,Expired,Yes,Straight Road,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Jammu and Kashmir,Unknown,2019.0,October,Wednesday,13:54,Serious,5,Truck,7,2.0,Clear,Urban Road,Wet,Dawn,Signals,103.0,43,Female,Expired,Yes,Bridge,6300.0,8416.0,897.0,,,,
West Bengal,Kolkata,2018.0,January,Friday,11:11,Serious,5,Pedestrian,2,3.0,Clear,National Highway,Dry,Dawn,Signals,31.0,46,Male,Valid,Yes,Straight Road,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
Tripura,Unknown,2018.0,April,Monday,19:54,Serious,4,Two-Wheeler,2,3.0,Clear,Urban Road,Under Construction,Dawn,Signs,110.0,50,Female,Expired,No,Bridge,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Goa,Unknown,2018.0,May,Friday,17:21,Minor,3,Truck,4,2.0,Stormy,Village Road,Wet,Dusk,Police Checkpost,41.0,47,Female,Expired,Yes,Intersection,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Arunachal Pradesh,Unknown,2021.0,July,Sunday,15:59,Minor,3,Auto-Rickshaw,5,3.0,Hazy,National Highway,Damaged,Dawn,,51.0,37,Male,,No,Straight Road,233.0,218.0,136.0,15.0,45.0,7.0,11.0
West Bengal,Siliguri,2023.0,November,Thursday,18:19,Serious,5,Car,7,4.0,Hazy,National Highway,Damaged,Dawn,,70.0,49,Male,Expired,Yes,Curve,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
Gujarat,Vadodara,2020.0,October,Thursday,7:21,Serious,1,Bus,2,3.0,Hazy,State Highway,Dry,Dusk,,42.0,60,Male,,No,Intersection,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Bihar,Unknown,2021.0,February,Friday,15:4,Serious,2,Car,8,0.0,Stormy,National Highway,Damaged,Dusk,Signs,32.0,60,Male,Expired,Yes,Intersection,11014.0,6539.0,8873.0,593.0,2323.0,458.0,156.0
Himachal Pradesh,Unknown,2020.0,December,Wednesday,22:13,Minor,2,Car,0,2.0,Stormy,State Highway,Wet,Dawn,Signs,105.0,40,Male,Valid,No,Curve,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Haryana,Unknown,2018.0,May,Sunday,3:36,Serious,2,Car,8,0.0,Hazy,National Highway,Dry,Dusk,Signs,35.0,42,Male,,No,Bridge,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Manipur,Unknown,2022.0,September,Friday,23:52,Serious,4,Auto-Rickshaw,8,3.0,Hazy,Village Road,Wet,Dawn,,64.0,54,Female,Expired,Yes,Bridge,398.0,636.0,73.0,71.0,57.0,39.0,0.0
Tamil Nadu,Chennai,2021.0,December,Sunday,2:43,Fatal,4,Auto-Rickshaw,5,4.0,Stormy,Urban Road,Wet,Dusk,,31.0,56,Male,Valid,No,Bridge,67213.0,72292.0,18347.0,531.0,47055.0,3209.0,2367.0
Chandigarh,Unknown,2018.0,December,Sunday,23:1,Serious,1,Cycle,4,2.0,Stormy,National Highway,Under Construction,Daylight,,78.0,52,Male,Valid,Yes,Intersection,182.0,171.0,67.0,9.0,380.0,17.0,5.0
Chhattisgarh,Unknown,2022.0,January,Saturday,5:4,Serious,2,Car,5,4.0,Clear,National Highway,Damaged,Daylight,Signs,105.0,32,Female,,No,Curve,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Goa,Unknown,2020.0,June,Saturday,6:17,Minor,2,Pedestrian,8,4.0,Rainy,National Highway,Damaged,Dawn,Police Checkpost,100.0,30,Female,,Yes,Straight Road,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Himachal Pradesh,Unknown,2022.0,October,Saturday,4:10,Fatal,4,Truck,6,1.0,Foggy,Urban Road,Under Construction,Daylight,Signals,70.0,33,Female,Expired,No,Intersection,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Tamil Nadu,Coimbatore,2020.0,April,Sunday,10:19,Fatal,2,Auto-Rickshaw,1,5.0,Rainy,Village Road,Dry,Dawn,Signals,73.0,51,Male,Expired,No,Bridge,67213.0,72292.0,18347.0,531.0,47055.0,3209.0,2367.0
Arunachal Pradesh,Unknown,2022.0,February,Saturday,6:8,Serious,2,Car,5,4.0,Foggy,Village Road,Wet,Dark,Police Checkpost,47.0,37,Male,Expired,Yes,Curve,233.0,218.0,136.0,15.0,45.0,7.0,11.0
Delhi,Dwarka,2019.0,August,Tuesday,22:40,Serious,5,Auto-Rickshaw,10,2.0,Clear,Village Road,Wet,Dusk,Signals,97.0,60,Male,Expired,Yes,Curve,5715.0,4880.0,1457.0,164.0,1696.0,131.0,129.0
Odisha,Unknown,2021.0,May,Wednesday,10:2,Minor,5,Auto-Rickshaw,10,4.0,Stormy,Urban Road,Wet,Dawn,Signals,57.0,24,Male,Expired,No,Bridge,11989.0,10367.0,5737.0,,,,
Karnataka,Mysore,2021.0,May,Friday,10:18,Minor,5,Cycle,5,3.0,Clear,Urban Road,Dry,Dark,Police Checkpost,53.0,47,Female,Expired,Yes,Intersection,43439.0,52547.0,12322.0,396.0,31506.0,900.0,292.0
Mizoram,Unknown,2018.0,August,Wednesday,13:30,Fatal,2,Car,0,5.0,Foggy,Urban Road,Under Construction,Dark,Signs,114.0,53,Male,,Yes,Bridge,47.0,53.0,49.0,27.0,14.0,2.0,0.0
Nagaland,Unknown,2019.0,October,Wednesday,17:33,Fatal,1,Truck,3,5.0,Hazy,State Highway,Damaged,Dawn,Police Checkpost,34.0,51,Male,Expired,Yes,Bridge,35.0,46.0,37.0,13.0,11.0,0.0,0.0
Telangana,Unknown,2023.0,January,Tuesday,16:13,Serious,1,Car,10,3.0,Foggy,State Highway,Wet,Dark,,102.0,33,Male,Expired,No,Straight Road,22903.0,21022.0,7660.0,202.0,13615.0,156.0,37.0
Puducherry,Unknown,2021.0,June,Thursday,3:26,Fatal,4,Bus,3,4.0,Foggy,Urban Road,Under Construction,Dark,,103.0,39,Male,Expired,Yes,Bridge,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Haryana,Unknown,2021.0,November,Wednesday,14:28,Minor,4,Auto-Rickshaw,2,2.0,Rainy,National Highway,Under Construction,Daylight,,37.0,49,Female,,No,Curve,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Puducherry,Unknown,2020.0,April,Friday,21:30,Serious,5,Cycle,7,5.0,Hazy,Village Road,Wet,Dusk,Signals,54.0,37,Female,Expired,No,Intersection,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Mizoram,Unknown,2023.0,May,Thursday,14:43,Serious,3,Car,8,5.0,Stormy,National Highway,Dry,Dusk,Signs,100.0,69,Female,,Yes,Intersection,47.0,53.0,49.0,27.0,14.0,2.0,0.0
Kerala,Unknown,2022.0,March,Thursday,4:25,Fatal,2,Auto-Rickshaw,9,2.0,Stormy,State Highway,Dry,Dusk,Signals,96.0,29,Male,Valid,Yes,Curve,45981.0,54326.0,4080.0,133.0,34062.0,1254.0,121.0
Puducherry,Unknown,2019.0,January,Thursday,5:48,Minor,5,Truck,9,1.0,Foggy,Urban Road,Dry,Dawn,Signals,103.0,37,Female,Expired,Yes,Bridge,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Assam,Unknown,2019.0,January,Friday,9:37,Serious,1,Two-Wheeler,3,5.0,Rainy,Village Road,Damaged,Daylight,Police Checkpost,118.0,38,Female,,No,Straight Road,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Meghalaya,Unknown,2023.0,May,Friday,0:21,Fatal,3,Two-Wheeler,4,0.0,Hazy,State Highway,Damaged,Dark,Signals,37.0,36,Male,Expired,Yes,Bridge,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Himachal Pradesh,Unknown,2022.0,March,Thursday,16:11,Fatal,4,Bus,1,3.0,Hazy,Village Road,Damaged,Daylight,Police Checkpost,45.0,40,Male,Valid,Yes,Straight Road,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Rajasthan,Jaipur,2020.0,June,Thursday,3:25,Fatal,4,Truck,0,4.0,Stormy,State Highway,Wet,Daylight,Signs,43.0,22,Male,Expired,Yes,Straight Road,24861.0,23268.0,11932.0,673.0,13358.0,981.0,217.0
Goa,Unknown,2022.0,August,Saturday,2:40,Fatal,5,Cycle,3,0.0,Foggy,Urban Road,Under Construction,Dusk,Signals,71.0,48,Male,Expired,Yes,Bridge,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Haryana,Unknown,2022.0,September,Sunday,20:40,Serious,4,Pedestrian,2,4.0,Clear,State Highway,Under Construction,Dark,Signals,60.0,46,Female,,Yes,Bridge,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Rajasthan,Jodhpur,2019.0,August,Friday,7:39,Fatal,2,Car,5,2.0,Clear,State Highway,Dry,Daylight,Signs,67.0,47,Male,Expired,No,Straight Road,24861.0,23268.0,11932.0,673.0,13358.0,981.0,217.0
Uttarakhand,Unknown,2020.0,January,Wednesday,11:39,Minor,5,Pedestrian,5,0.0,Foggy,State Highway,Damaged,Dusk,Signs,70.0,70,Female,Expired,Yes,Intersection,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Goa,Unknown,2018.0,February,Monday,9:45,Minor,4,Truck,0,5.0,Foggy,Urban Road,Under Construction,Dark,,110.0,70,Female,Expired,Yes,Intersection,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Chandigarh,Unknown,2023.0,January,Saturday,19:53,Serious,3,Cycle,1,2.0,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,67.0,36,Female,Expired,No,Curve,182.0,171.0,67.0,9.0,380.0,17.0,5.0
Haryana,Unknown,2022.0,June,Tuesday,19:9,Fatal,1,Pedestrian,3,0.0,Hazy,Urban Road,Damaged,Dusk,,39.0,20,Male,,Yes,Curve,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Punjab,Unknown,2019.0,September,Monday,4:58,Fatal,2,Truck,5,4.0,Stormy,National Highway,Dry,Dawn,Police Checkpost,43.0,39,Female,Valid,No,Bridge,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Meghalaya,Unknown,2023.0,March,Tuesday,8:29,Fatal,5,Truck,3,0.0,Rainy,State Highway,Damaged,Dawn,Police Checkpost,43.0,64,Female,,Yes,Straight Road,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Punjab,Unknown,2018.0,January,Sunday,5:7,Minor,3,Truck,2,1.0,Rainy,State Highway,Under Construction,Dark,Signals,62.0,38,Female,Expired,No,Straight Road,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Haryana,Unknown,2022.0,August,Tuesday,14:25,Minor,2,Cycle,5,5.0,Foggy,National Highway,Wet,Dusk,Signals,110.0,23,Female,,Yes,Intersection,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Puducherry,Unknown,2019.0,May,Tuesday,3:7,Minor,3,Car,9,4.0,Hazy,National Highway,Under Construction,Daylight,Signs,89.0,43,Male,Expired,No,Straight Road,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Tripura,Unknown,2018.0,July,Sunday,13:16,Minor,3,Cycle,2,1.0,Clear,State Highway,Wet,Daylight,Signs,117.0,25,Female,Valid,Yes,Straight Road,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Manipur,Unknown,2023.0,November,Sunday,6:42,Minor,4,Cycle,7,1.0,Clear,State Highway,Dry,Dusk,Signs,59.0,70,Male,Expired,Yes,Intersection,398.0,636.0,73.0,71.0,57.0,39.0,0.0
Arunachal Pradesh,Unknown,2021.0,July,Sunday,17:3,Minor,3,Auto-Rickshaw,10,2.0,Rainy,Urban Road,Dry,Dawn,Signs,112.0,33,Male,,Yes,Intersection,233.0,218.0,136.0,15.0,45.0,7.0,11.0
Delhi,Dwarka,2020.0,December,Monday,5:7,Minor,3,Auto-Rickshaw,1,0.0,Clear,State Highway,Damaged,Dusk,Police Checkpost,103.0,52,Female,Valid,No,Bridge,5715.0,4880.0,1457.0,164.0,1696.0,131.0,129.0
Punjab,Unknown,2018.0,March,Sunday,4:27,Serious,5,Truck,1,4.0,Rainy,National Highway,Damaged,Dawn,Signals,32.0,28,Female,Valid,No,Intersection,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Goa,Unknown,2019.0,April,Sunday,16:18,Fatal,3,Car,6,0.0,Clear,Village Road,Under Construction,Dawn,Signs,80.0,40,Female,,Yes,Bridge,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Goa,Unknown,2018.0,September,Monday,11:3,Fatal,4,Auto-Rickshaw,6,4.0,Foggy,National Highway,Dry,Dusk,Signals,71.0,57,Female,Valid,No,Bridge,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Jharkhand,Unknown,2019.0,December,Sunday,2:32,Serious,2,Pedestrian,4,3.0,Hazy,Village Road,Under Construction,Dark,Police Checkpost,62.0,32,Female,,Yes,Straight Road,5316.0,3586.0,4173.0,543.0,652.0,169.0,110.0
Tamil Nadu,Madurai,2020.0,October,Friday,9:51,Minor,2,Car,4,3.0,Rainy,Urban Road,Dry,Daylight,Signals,57.0,62,Male,Valid,No,Curve,67213.0,72292.0,18347.0,531.0,47055.0,3209.0,2367.0
Assam,Unknown,2020.0,October,Sunday,23:30,Minor,1,Cycle,8,1.0,Foggy,State Highway,Under Construction,Daylight,Police Checkpost,119.0,68,Female,,Yes,Curve,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Kerala,Unknown,2023.0,October,Tuesday,7:49,Serious,1,Bus,8,3.0,Hazy,Urban Road,Damaged,Dark,Signals,119.0,64,Male,Expired,Yes,Bridge,45981.0,54326.0,4080.0,133.0,34062.0,1254.0,121.0
Puducherry,Unknown,2022.0,June,Monday,3:52,Fatal,2,Cycle,2,0.0,Stormy,State Highway,Dry,Dawn,Police Checkpost,31.0,50,Male,,Yes,Curve,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Jharkhand,Unknown,2022.0,July,Saturday,6:37,Serious,2,Car,2,2.0,Foggy,National Highway,Under Construction,Dawn,Signs,120.0,46,Female,Expired,No,Intersection,5316.0,3586.0,4173.0,543.0,652.0,169.0,110.0
Mizoram,Unknown,2018.0,September,Sunday,2:28,Fatal,1,Bus,1,1.0,Hazy,State Highway,Damaged,Dawn,Signals,34.0,29,Male,,No,Straight Road,47.0,53.0,49.0,27.0,14.0,2.0,0.0
Uttarakhand,Unknown,2019.0,November,Tuesday,7:28,Serious,1,Pedestrian,2,3.0,Foggy,National Highway,Damaged,Daylight,Signs,85.0,44,Male,Valid,Yes,Bridge,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Manipur,Unknown,2022.0,November,Sunday,15:24,Fatal,4,Bus,7,5.0,Rainy,Village Road,Damaged,Dark,,98.0,22,Male,,No,Bridge,398.0,636.0,73.0,71.0,57.0,39.0,0.0
Punjab,Unknown,2019.0,January,Saturday,8:6,Serious,5,Bus,1,2.0,Clear,Village Road,Under Construction,Dusk,Police Checkpost,110.0,18,Female,,No,Intersection,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Puducherry,Unknown,2019.0,June,Thursday,1:51,Fatal,5,Pedestrian,2,0.0,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,86.0,65,Male,Valid,No,Straight Road,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Tripura,Unknown,2021.0,January,Wednesday,14:53,Serious,4,Bus,9,1.0,Rainy,Urban Road,Wet,Daylight,Signals,103.0,58,Female,Expired,No,Intersection,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Telangana,Unknown,2019.0,June,Saturday,6:17,Serious,1,Cycle,0,4.0,Clear,State Highway,Wet,Dark,,81.0,28,Female,,Yes,Curve,22903.0,21022.0,7660.0,202.0,13615.0,156.0,37.0
Nagaland,Unknown,2018.0,September,Thursday,6:57,Serious,3,Truck,7,1.0,Stormy,Village Road,Wet,Dawn,Signals,98.0,47,Female,Valid,No,Curve,35.0,46.0,37.0,13.0,11.0,0.0,0.0
Bihar,Unknown,2021.0,February,Tuesday,16:31,Fatal,5,Pedestrian,2,5.0,Rainy,Urban Road,Damaged,Daylight,Police Checkpost,93.0,47,Female,Valid,Yes,Intersection,11014.0,6539.0,8873.0,593.0,2323.0,458.0,156.0
Kerala,Unknown,2020.0,June,Wednesday,20:34,Serious,2,Auto-Rickshaw,9,5.0,Clear,National Highway,Wet,Dawn,,53.0,45,Male,Expired,Yes,Bridge,45981.0,54326.0,4080.0,133.0,34062.0,1254.0,121.0
Jammu and Kashmir,Unknown,2023.0,August,Saturday,19:23,Fatal,2,Cycle,6,4.0,Clear,Village Road,Wet,Dark,Police Checkpost,117.0,30,Female,,No,Intersection,6300.0,8416.0,897.0,,,,
Mizoram,Unknown,2018.0,February,Thursday,17:39,Minor,5,Truck,0,4.0,Hazy,Urban Road,Wet,Daylight,Signals,112.0,21,Female,,Yes,Curve,47.0,53.0,49.0,27.0,14.0,2.0,0.0
Uttar Pradesh,Lucknow,2019.0,March,Sunday,4:7,Fatal,2,Cycle,10,3.0,Foggy,National Highway,Under Construction,Dusk,,56.0,41,Male,Valid,No,Straight Road,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Andhra Pradesh,Tirupati,2022.0,March,Sunday,5:9,Fatal,4,Auto-Rickshaw,4,5.0,Hazy,National Highway,Under Construction,Daylight,,92.0,49,Female,Expired,No,Straight Road,19949.0,20409.0,8137.0,128.0,17286.0,667.0,325.0
Uttarakhand,Unknown,2019.0,July,Wednesday,0:19,Fatal,5,Pedestrian,0,4.0,Clear,National Highway,Wet,Dusk,,108.0,34,Male,Expired,No,Bridge,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Puducherry,Unknown,2020.0,January,Sunday,11:32,Fatal,1,Car,2,5.0,Hazy,National Highway,Wet,Dark,,75.0,60,Female,Valid,No,Bridge,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Delhi,Rohini,2021.0,March,Saturday,5:26,Minor,5,Auto-Rickshaw,0,4.0,Clear,Village Road,Wet,Dusk,Signals,72.0,54,Female,Valid,No,Curve,5715.0,4880.0,1457.0,164.0,1696.0,131.0,129.0
Arunachal Pradesh,Unknown,2023.0,May,Saturday,1:25,Serious,4,Cycle,4,1.0,Hazy,National Highway,Under Construction,Daylight,Signs,70.0,47,Female,,Yes,Intersection,233.0,218.0,136.0,15.0,45.0,7.0,11.0
Uttarakhand,Unknown,2018.0,March,Thursday,6:42,Fatal,2,Bus,4,4.0,Clear,State Highway,Wet,Daylight,Signs,79.0,25,Female,Valid,No,Bridge,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Sikkim,Unknown,2020.0,February,Wednesday,18:11,Fatal,4,Cycle,3,4.0,Hazy,State Highway,Under Construction,Dawn,,92.0,26,Male,,Yes,Bridge,174.0,376.0,68.0,12.0,45.0,20.0,0.0
Uttar Pradesh,Kanpur,2018.0,September,Saturday,4:50,Minor,4,Two-Wheeler,3,5.0,Foggy,Urban Road,Dry,Dark,Police Checkpost,45.0,33,Female,,No,Curve,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Uttar Pradesh,Kanpur,2019.0,July,Monday,9:6,Fatal,5,Two-Wheeler,5,0.0,Clear,Village Road,Damaged,Dawn,Police Checkpost,111.0,43,Male,Valid,No,Intersection,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Kerala,Unknown,2021.0,August,Sunday,13:53,Fatal,1,Auto-Rickshaw,1,4.0,Clear,National Highway,Under Construction,Dark,Signs,116.0,41,Female,Expired,Yes,Curve,45981.0,54326.0,4080.0,133.0,34062.0,1254.0,121.0
Meghalaya,Unknown,2020.0,March,Tuesday,8:57,Minor,2,Two-Wheeler,0,0.0,Stormy,State Highway,Dry,Daylight,,39.0,28,Male,Valid,No,Intersection,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Manipur,Unknown,2022.0,November,Sunday,9:38,Serious,4,Truck,1,3.0,Stormy,Village Road,Wet,Dark,Signs,83.0,42,Female,Expired,Yes,Straight Road,398.0,636.0,73.0,71.0,57.0,39.0,0.0
Sikkim,Unknown,2023.0,July,Wednesday,1:7,Fatal,4,Cycle,6,3.0,Clear,National Highway,Wet,Dawn,Police Checkpost,104.0,44,Female,Expired,No,Straight Road,174.0,376.0,68.0,12.0,45.0,20.0,0.0
Punjab,Unknown,2018.0,June,Wednesday,5:40,Serious,5,Auto-Rickshaw,2,1.0,Clear,Village Road,Dry,Dawn,Signs,74.0,45,Male,Valid,No,Intersection,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Tripura,Unknown,2020.0,March,Thursday,16:18,Serious,5,Truck,8,0.0,Stormy,State Highway,Dry,Dusk,Signs,48.0,45,Male,Expired,Yes,Intersection,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Mizoram,Unknown,2019.0,September,Friday,4:3,Serious,1,Pedestrian,4,1.0,Stormy,Urban Road,Dry,Dusk,Signs,37.0,60,Female,Valid,No,Intersection,47.0,53.0,49.0,27.0,14.0,2.0,0.0
Himachal Pradesh,Unknown,2019.0,December,Tuesday,16:7,Serious,5,Auto-Rickshaw,5,0.0,Stormy,National Highway,Under Construction,Dawn,Police Checkpost,81.0,43,Male,Valid,Yes,Curve,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Arunachal Pradesh,Unknown,2020.0,June,Sunday,21:2,Serious,5,Truck,1,0.0,Foggy,National Highway,Dry,Dark,Police Checkpost,54.0,47,Female,Expired,Yes,Bridge,233.0,218.0,136.0,15.0,45.0,7.0,11.0
Jammu and Kashmir,Unknown,2018.0,January,Tuesday,7:1,Fatal,2,Truck,8,0.0,Stormy,National Highway,Under Construction,Dawn,Signals,34.0,61,Female,Valid,Yes,Intersection,6300.0,8416.0,897.0,,,,
Himachal Pradesh,Unknown,2021.0,June,Saturday,7:18,Fatal,1,Pedestrian,5,2.0,Foggy,Urban Road,Dry,Dawn,Police Checkpost,105.0,30,Male,Expired,Yes,Straight Road,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Kerala,Unknown,2021.0,September,Sunday,23:19,Serious,4,Car,5,5.0,Stormy,State Highway,Damaged,Daylight,Signals,73.0,58,Female,Valid,No,Straight Road,45981.0,54326.0,4080.0,133.0,34062.0,1254.0,121.0
Andhra Pradesh,Vijayawada,2020.0,December,Tuesday,6:33,Minor,4,Bus,8,1.0,Stormy,State Highway,Under Construction,Daylight,,115.0,44,Female,Expired,No,Straight Road,19949.0,20409.0,8137.0,128.0,17286.0,667.0,325.0
Maharashtra,Mumbai,2018.0,June,Tuesday,9:20,Minor,5,Pedestrian,1,1.0,Stormy,National Highway,Under Construction,Dawn,Police Checkpost,40.0,57,Female,,Yes,Bridge,31347.0,28212.0,15434.0,226.0,23643.0,1922.0,765.0
Gujarat,Ahmedabad,2018.0,November,Thursday,13:7,Minor,4,Two-Wheeler,0,2.0,Hazy,Urban Road,Dry,Dawn,,107.0,57,Female,Expired,No,Straight Road,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Arunachal Pradesh,Unknown,2022.0,June,Tuesday,17:39,Fatal,4,Auto-Rickshaw,6,3.0,Rainy,Urban Road,Damaged,Dusk,Signals,114.0,48,Female,Valid,Yes,Bridge,233.0,218.0,136.0,15.0,45.0,7.0,11.0
Rajasthan,Udaipur,2018.0,April,Monday,7:47,Minor,5,Pedestrian,8,5.0,Hazy,Village Road,Under Construction,Daylight,,36.0,68,Female,Valid,Yes,Bridge,24861.0,23268.0,11932.0,673.0,13358.0,981.0,217.0
Nagaland,Unknown,2020.0,April,Sunday,6:3,Serious,4,Two-Wheeler,1,2.0,Rainy,State Highway,Wet,Dusk,Signs,57.0,50,Female,Valid,No,Intersection,35.0,46.0,37.0,13.0,11.0,0.0,0.0
Manipur,Unknown,2018.0,June,Monday,7:50,Fatal,3,Cycle,1,3.0,Hazy,State Highway,Under Construction,Daylight,Signals,98.0,40,Female,Valid,Yes,Intersection,398.0,636.0,73.0,71.0,57.0,39.0,0.0
